crime_ucr,crime_iucr,crime_primary_type,crime_description,notes,n,crime_group_large_inferred,crime_group_inferred,crime_index,weapon_inferred,shooting_ind_inferred,victim_type_inferred,weapon_firearm_ind_inferred,drug_type_inferred,drug_crime_class_inferred
19,1650,GAMBLING,VIOL CHARITABLE GAME ACT,,16,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1651,GAMBLING,GAME/CARDS,,376,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1661,GAMBLING,GAME/DICE,,12213,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1670,GAMBLING,GAME/AMUSEMENT DEVICE,,726,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1680,GAMBLING,OTHER,,578,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1681,GAMBLING,LOTTERY/PARLAY CARDS,,6,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1682,OTHER OFFENSE,ANIMAL FIGHTING,UCR 19 is gambling,291,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
19,1697,GAMBLING,POLICY/OTHER,,4,Quality of Life,Gambling,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
17,1576,SEX OFFENSE,BIGAMY,,28,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1576,SEX OFFENSE,BIGAMY,,1,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
20,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,,1222,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,,5722,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
20,1715,OFFENSE INVOLVING CHILDREN,SALE TOBACCO PRODUCTS TO MINOR,,7,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1715,OFFENSE INVOLVING CHILDREN,SALE TOBACCO PRODUCTS TO MINOR,,22,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08B,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,"Simple Battery is causes bodily harm to an individual or (2) makes physical contact of an insulting or provoking nature with an individual, per clearmap guide",605,Part II Violent,Assault,N,Physical Force,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
08B,494,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET NO/MINOR INJURY,"Simple Battery is causes bodily harm to an individual or (2) makes physical contact of an insulting or provoking nature with an individual, per clearmap guide",3,Part II Violent,Assault,N,Physical Force,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
20,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,,13664,Part II Violent,Child Abuse,N,Physical Force,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,,183,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
20,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,,136,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
20,1725,OFFENSE INVOLVING CHILDREN,CONTRIBUTE CRIM DELINQUENCY JUVENILE,,30,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
22,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,,3154,Quality of Life,"Alcohol - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Alcohol,"Manufacture, Sell, Deliver"
22,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,,3213,Quality of Life,"Alcohol - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Alcohol,"Possession, Purchase"
22,2230,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,,4646,Quality of Life,"Alcohol - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Alcohol,"Possession, Purchase"
22,2240,LIQUOR LAW VIOLATION,MINOR MISREPRESENT AGE,,71,Quality of Life,"Alcohol - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Alcohol,"Possession, Purchase"
22,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,,3148,Quality of Life,"Alcohol - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Alcohol,"Manufacture, Sell, Deliver"
22,2251,LIQUOR LAW VIOLATION,EMPLOY MINOR,,10,Quality of Life,"Alcohol - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Alcohol,"Manufacture, Sell, Deliver"
24,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,"24 is crime against society, if there were an injury it would be crime against person. Under ucr, 24 is disorderly conduct, a public peace violation",6034,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,3610,OTHER OFFENSE,INTERFERE W/ HIGHER EDUCATION,ucr 24 is disorderly conduct category,27,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,3720,INTERFERENCE WITH PUBLIC OFFICER,REFUSING TO AID AN OFFICER,ucr 24 is disorderly conduct category,19,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,ucr 24 is disorderly conduct category,2282,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,ucr 24 is disorderly conduct category,6078,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,3740,INTERFERENCE WITH PUBLIC OFFICER,CONCEALING/AIDING A FUGITIVE,ucr 24 is disorderly conduct category,26,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,3750,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE,ucr 24 is disorderly conduct category,358,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,3751,INTERFERENCE WITH PUBLIC OFFICER,AIDING ARRESTEE ESCAPE,ucr 24 is disorderly conduct category,15,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,ucr 24 is disorderly conduct category,539,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ucr 24 is disorderly conduct category,29598,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,2840,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,ucr 24 is disorderly conduct category,1163,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1725,OFFENSE INVOLVING CHILDREN,CONTRIBUTE CRIM DELINQUENCY JUVENILE,,97,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,,725,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,ucr 24 is disorderly conduct category,2424,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,2870,PUBLIC PEACE VIOLATION,PEEPING TOM,ucr 24 is disorderly conduct category,1070,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
20,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,,2385,Part II Violent,Child Abuse,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,lure or attempt to lure child into vehicle (non family member),52,Part II Violent,Child Abuse,N,No Weapon,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
24,3100,PUBLIC PEACE VIOLATION,MOB ACTION,ucr 24 is disorderly conduct category,1471,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4210,KIDNAPPING,KIDNAPPING,"Secretly confines another against his will   , victim 13 years or older",662,Part II Violent,Other Violent,N,Unspecified,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,5008,OTHER OFFENSE,FIREARM REGISTRATION VIOLATION,,189,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
26,2120,NARCOTICS,FAILURE TO KEEP HYPO RECORDS,,8,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Manufacture, Sell, Deliver"
26,2160,NARCOTICS,SALE/DEL DRUG PARAPHERNALIA,,125,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Manufacture, Sell, Deliver"
26,2111,NARCOTICS,SALE/DEL HYPODERMIC NEEDLE,,969,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Para/Synthetic/Fake,"Manufacture, Sell, Deliver"
26,4220,KIDNAPPING,AGGRAVATED,,419,Part II Violent,Other Violent,N,Unspecified,No Shooting,Minor,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
26,4230,KIDNAPPING,UNLAWFUL RESTRAINT,,1111,Part II Violent,Other Violent,N,Unspecified,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,585,NON-CRIMINAL,NOTIFICATION OF STALKING - NO CONTACT ORDER,,8,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
26,4240,KIDNAPPING,FORCIBLE DETENTION,,77,Part II Violent,Other Violent,N,Unspecified,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,,2100,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1055,HUMAN TRAFFICKING,INVOLUNTARY SERVITUDE,,24,Part II Violent,Other Violent,N,Unspecified,No Shooting,General,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
20,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,Billiard Room,1626,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,Billiard Room,7637,Quality of Life,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
20,1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD,,596,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
20,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,"cpd iucr - Offender intentionally conceals from the custodial           1790 parent, detains, or removes from the jurisdiction of the court a child in
violation of a court order or process.",3627,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,"cpd iucr - Offender intentionally conceals from the custodial           1790 parent, detains, or removes from the jurisdiction of the court a child in
violation of a court order or process.",48,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
2,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,,2998,Part I Violent,Rape,I,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
2,261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,,1726,Part I Violent,Rape,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
18,2091,NARCOTICS,FORFEIT PROPERTY,,517,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Possession, Purchase"
26,2091,NARCOTICS,FORFEIT PROPERTY,,3339,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Possession, Purchase"
18,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,"CPD glossary: To command, authorize, urge, incite, request, or advise another to patronize one business instead of another. http://directives.chicagopolice.org/directives/data/a7a551ac-12434b53-c5c12-4ef3-0bfda1e4198789ec.html. Muni code: 10-8-515  Soliciting unlawful business.
   (a)   No person may: (I) stand upon, use or occupy the public way to solicit any unlawful business; or (ii) interfere with or impede any pedestrian or anyone in a vehicle on the public way, for the purpose of soliciting any unlawful business.
   (b)   As used in this section, Òunlawful businessÓ, means any exchange of goods or services for money or anything of value, where the nature of the goods or services, or the exchange thereof, is unlawful. Unlawful business includes, but is not limited to, prostitution or the illegal sale of narcotics. For purposes of this section, ÒsolicitingÓ may be by words, gestures, symbols or any similar means.
   (c)   A person who violates this section shall be subject to a fine of not less than $500.00 and/or imprisonment for: (I) not less than ten days and not more than six months for a first offense; (ii) not less than 20 days and not more than six months for a second offense; and (iii) not less than 30 days and not more than six months for a third or subsequent offense. In addition to the penalties specified above, a person who violates this section shall be ordered to perform up to 200 hours of community service.",1770,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Manufacture, Sell, Deliver"
26,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,"CPD glossary: To command, authorize, urge, incite, request, or advise another to patronize one business instead of another. http://directives.chicagopolice.org/directives/data/a7a551ac-12434b53-c5c12-4ef3-0bfda1e4198789ec.html. Muni code: 10-8-515  Soliciting unlawful business.
   (a)   No person may: (I) stand upon, use or occupy the public way to solicit any unlawful business; or (ii) interfere with or impede any pedestrian or anyone in a vehicle on the public way, for the purpose of soliciting any unlawful business.
   (b)   As used in this section, Òunlawful businessÓ, means any exchange of goods or services for money or anything of value, where the nature of the goods or services, or the exchange thereof, is unlawful. Unlawful business includes, but is not limited to, prostitution or the illegal sale of narcotics. For purposes of this section, ÒsolicitingÓ may be by words, gestures, symbols or any similar means.
   (c)   A person who violates this section shall be subject to a fine of not less than $500.00 and/or imprisonment for: (I) not less than ten days and not more than six months for a first offense; (ii) not less than 20 days and not more than six months for a second offense; and (iii) not less than 30 days and not more than six months for a third or subsequent offense. In addition to the penalties specified above, a person who violates this section shall be ordered to perform up to 200 hours of community service.",25733,Narcotics,"Narcotics - Manufacture, Sell, Deliver",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Manufacture, Sell, Deliver"
18,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,,3888,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Possession, Purchase"
26,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,,13414,Narcotics,"Narcotics - Possession, Purchase",N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Unspecified,"Possession, Purchase"
2,263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,,1070,Part I Violent,Rape,I,Knife/Sharp Object,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
20,1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,,256,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
2,265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,,4631,Part I Violent,Rape,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
24,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,ucr 24 is disorderly conduct category,88,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,,6566,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,ucr 24 is disorderly conduct category,59,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,,4598,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,ucr 24 is disorderly conduct category,69,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
2,264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,,309,Part I Violent,Rape,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,,1719,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
2,262,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER FIREARM,,34,Part I Violent,Rape,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
2,271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN,,150,Part I Violent,Rape,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
2,273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR,,175,Part I Violent,Rape,I,Knife/Sharp Object,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,2820,OTHER OFFENSE,TELEPHONE THREAT,,135204,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,,102522,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,,26150,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,,370,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,,34976,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
24,2895,PUBLIC PEACE VIOLATION,INTERFERE W/ EMERGENCY EQUIP,ucr 24 is disorderly conduct category,1,Public Peace,Public Peace,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4388,OTHER OFFENSE,VIO BAIL BOND: DOM VIOLENCE,,655,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,,11753,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,,790,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,,72,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4510,OTHER OFFENSE,PROBATION VIOLATION,,2057,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4625,OTHER OFFENSE,PAROLE VIOLATION,,5278,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,,4201,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,,4782,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4652,OTHER OFFENSE,SEX OFFENDER: PROHIBITED ZONE,,207,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4750,OTHER OFFENSE,DISCLOSE DV VICTIM LOCATION,,1,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4800,OTHER OFFENSE,MONEY LAUNDERING,,90,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4810,OTHER OFFENSE,COMPOUNDING A CRIME,,33,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,,37365,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5009,OTHER OFFENSE,VIOLATION OF SMOKING BAN,,39,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,500E,OTHER OFFENSE,EAVESDROPPING,,92,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5011,OTHER OFFENSE,LICENSE VIOLATION,,7230,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5013,OTHER OFFENSE,VIOLATION OF SUMMARY CLOSURE,,6,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,501H,OTHER OFFENSE,HAZARDOUS MATERIALS VIOLATION,,88,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,,21468,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,,8126,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,502T,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,,444,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5120,OTHER OFFENSE,ARSONIST: DUTY TO REGISTER,,4,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5121,OTHER OFFENSE,ARSONIST: ANNUAL REGISTRATION,,17,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5122,OTHER OFFENSE,ARSONIST: FAIL TO REGISTER NEW ADDRESS,,4,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5130,OTHER OFFENSE,VIOLENT OFFENDER: DUTY TO REGISTER,,103,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5131,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION,,211,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5132,OTHER OFFENSE,VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS,,54,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,,7277,Part II Violent,Other Violent,N,Unspecified,No Shooting,General,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
